iter	Passed	Remaining
0	1	113
1	2	102
2	2	95
3	3	87
4	4	86
5	5	85
6	6	84
7	7	84
8	8	82
9	9	81
10	10	81
11	10	80
12	11	79
13	12	78
14	13	77
15	14	76
16	15	75
17	16	74
18	17	73
19	18	72
20	19	71
21	20	70
22	20	70
23	21	68
24	22	68
25	23	67
26	24	66
27	25	65
28	26	64
29	27	63
30	28	62
31	28	61
32	29	60
33	30	59
34	31	58
35	32	57
36	33	56
37	34	55
38	35	54
39	35	53
40	36	52
41	37	51
42	38	50
43	39	49
44	39	48
45	40	47
46	41	46
47	42	46
48	43	45
49	44	44
50	45	43
51	46	42
52	47	41
53	47	40
54	48	39
55	49	38
56	50	37
57	51	37
58	52	36
59	52	35
60	53	34
61	54	33
62	55	32
63	56	31
64	56	30
65	57	29
66	58	28
67	59	28
68	60	27
69	61	26
70	62	25
71	63	24
72	64	23
73	65	22
74	66	22
75	67	21
76	67	20
77	68	19
78	69	18
79	70	17
80	71	16
81	72	15
82	73	15
83	74	14
84	75	13
85	75	12
86	76	11
87	77	10
88	78	9
89	79	8
90	80	7
91	81	7
92	82	6
93	83	5
94	83	4
95	84	3
96	85	2
97	86	1
98	86	0
99	87	0
